Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
430000,Barley,AU,Austria,2022,2023,4,4,Area Harvested,4,(1000 HA),123.0
430000,Barley,AU,Austria,2022,2023,4,28,Production,8,(1000 MT),758.0
430000,Barley,AU,Austria,2023,2024,4,4,Area Harvested,4,(1000 HA),123.0
430000,Barley,AU,Austria,2023,2024,4,28,Production,8,(1000 MT),763.0
430000,Barley,AU,Austria,2024,2025,4,4,Area Harvested,4,(1000 HA),126.0
430000,Barley,AU,Austria,2024,2025,4,28,Production,8,(1000 MT),716.0
430000,Barley,AU,Austria,2025,2026,4,4,Area Harvested,4,(1000 HA),122.0
430000,Barley,AU,Austria,2025,2026,4,28,Production,8,(1000 MT),825.0
430000,Barley,AU,Austria,2026,2026,8,4,Area Harvested,4,(1000 HA),122.0
430000,Barley,AU,Austria,2026,2026,8,28,Production,8,(1000 MT),775.0
430000,Barley,BE,Belgium-Luxembourg,2022,2024,4,4,Area Harvested,4,(1000 HA),53.0
430000,Barley,BE,Belgium-Luxembourg,2022,2024,4,28,Production,8,(1000 MT),411.0
430000,Barley,BE,Belgium-Luxembourg,2023,2024,12,4,Area Harvested,4,(1000 HA),55.0
430000,Barley,BE,Belgium-Luxembourg,2023,2024,12,28,Production,8,(1000 MT),425.0
430000,Barley,BE,Belgium-Luxembourg,2024,2026,4,4,Area Harvested,4,(1000 HA),55.0
430000,Barley,BE,Belgium-Luxembourg,2024,2026,4,28,Production,8,(1000 MT),334.0
430000,Barley,BE,Belgium-Luxembourg,2025,2026,4,4,Area Harvested,4,(1000 HA),44.0
430000,Barley,BE,Belgium-Luxembourg,2025,2026,4,28,Production,8,(1000 MT),311.0
430000,Barley,BE,Belgium-Luxembourg,2026,2026,8,4,Area Harvested,4,(1000 HA),48.0
430000,Barley,BE,Belgium-Luxembourg,2026,2026,8,28,Production,8,(1000 MT),330.0
430000,Barley,BU,Bulgaria,2022,2023,8,4,Area Harvested,4,(1000 HA),122.0
430000,Barley,BU,Bulgaria,2022,2023,8,28,Production,8,(1000 MT),625.0
